Name,Season,Yards,TD,INT,Score,Seasons
Ken Clark,1979,18.25934201402265,-0.08290315124431774,-0.09199476076739348,0.931150319747284,1
Ken Dilger,2001,32.22421358383289,0.960756442741487,-0.033681478276991535,3.600086521228602,1
Ken Dorsey,2004,-761.4111292025502,-9.232819850565512,5.400439170327157,-67.33707450191287,4
Ken Heineman,1940,-62.08249742310823,-0.10665668014369101,2.218910799584419,-7.755259830611632,2
Ken Jenkins,1984,-7.136684118673648,-0.04293193717277487,-0.040767888307155324,-0.3611623036649215,1
Ken Karcher,1987,-36.715198946822156,0.9083224512486463,-0.5523276456943982,1.0855402465449808,2
Ken O'Brien,1984,-69.28713950792894,-18.3959174290156,-40.87260889732637,41.489025961225096,10
Ken Stabler,1970,2135.191604686701,35.26305426709099,35.451694891963356,106.38229898459032,15
Ken Steinmetz,1944,-6.114001892147588,-0.05534531693472091,-0.11069063386944182,-0.1950094607379376,1
Ken Strong,1932,124.36954947576811,1.04200762740483,-1.1848255104739243,10.672143749545913,4
Ken Walter,1998,-13.596514881853178,-0.08132504025984455,-0.06539480896471078,-0.7116862066829266,2
Ken Willard,1965,-7.4623636027371925,-0.05677825041612724,0.9487701128167191,-2.384214906602552,1
Kendall Hinton,2020,-52.070562293274534,-0.4326350606394708,1.7962513781697904,-7.061300992282249,1
Kenjon Barner,2019,-4.220691200358483,-0.044642357026830226,-0.022965327956085812,-0.25438861815941305,1
Kenny Fryer,1944,-55.73604541154211,-1.3282876064333018,-0.6565752128666036,-4.130227057710502,1
Kenny Harrison,1977,-6.498467198038013,-0.03964847741671776,-0.05742898017576129,-0.28936235438381364,1
Kenny Stills,2018,-4.371795597306321,0.9520683605907985,-0.0237111651858978,1.7329692716880765,1
Kenny Washington,1946,-63.70447507054942,-0.8078231550193693,-0.21660209429768942,-4.3676658749708315,3
Kent Graham,1992,-1237.1833000681797,-14.080045056511157,-11.332689703431756,-67.35387570956779,9
Kent Nix,1967,-856.8460436527978,-8.343639520304876,12.782215254055096,-85.09401173135983,6
Kent Ryan,1938,-36.84459504941407,-0.5010464155677263,-1.1776734081938622,-0.4889757672184314,2
